2670..267D    ; Grapheme_Base
2680..2691    ; Grapheme_Base
26A0..26A1    ; Grapheme_Base
2701..2704    ; Grapheme_Base
2706..2709    ; Grapheme_Base
270C..2727    ; Grapheme_Base
2729..274B    ; Grapheme_Base
274D          ; Grapheme_Base
274F..2752    ; Grapheme_Base
2756          ; Grapheme_Base
2758..275E    ; Grapheme_Base
2761..2767    ; Grapheme_Base
2768          ; Grapheme_Base
2769          ; Grapheme_Base
276A          ; Grapheme_Base
276B          ; Grapheme_Base
276C          ; Grapheme_Base
276D          ; Grapheme_Base
276E          ; Grapheme_Base
276F          ; Grapheme_Base
2770          ; Grapheme_Base
2771          ; Grapheme_Base
2772          ; Grapheme_Base
2773          ; Grapheme_Base
2774          ; Grapheme_Base
2775          ; Grapheme_Base
2776..2793    ; Grapheme_Base
2794          ; Grapheme_Base
2798..27AF    ; Grapheme_Base
27B1..27BE    ; Grapheme_Base
27D0..27E5    ; Grapheme_Base
27E6          ; Grapheme_Base
27E7          ; Grapheme_Base
27E8          ; Grapheme_Base
27E9          ; Grapheme_Base
27EA          ; Grapheme_Base
27EB          ; Grapheme_Base
27F0..27FF    ; Grapheme_Base
2800..28FF    ; Grapheme_Base
2900..2982    ; Grapheme_Base
2983          ; Grapheme_Base
2984          ; Grapheme_Base
2985          ; Grapheme_Base
2986          ; Grapheme_Base
2987          ; Grapheme_Base
2988          ; Grapheme_Base
2989          ; Grapheme_Base
298A          ; Grapheme_Base
298B          ; Grapheme_Base
298C          ; Grapheme_Base
298D          ; Grapheme_Base
298E          ; Grapheme_Base
298F          ; Grapheme_Base
2990          ; Grapheme_Base
2991          ; Grapheme_Base
2992          ; Grapheme_Base
2993          ; Grapheme_Base
2994          ; Grapheme_Base
2995          ; Grapheme_Base
2996          ; Grapheme_Base
2997          ; Grapheme_Base
2998          ; Grapheme_Base
2999..29D7    ; Grapheme_Base
29D8          ; Grapheme_Base
29D9          ; Grapheme_Base
29DA          ; Grapheme_Base
29DB          ; Grapheme_Base
29DC..29FB    ; Grapheme_Base
29FC          ; Grapheme_Base
29FD          ; Grapheme_Base
29FE..2AFF    ; Grapheme_Base
2B00..2B0D    ; Grapheme_Base
2E80..2E99    ; Grapheme_Base
2E9B..2EF3    ; Grapheme_Base
2F00..2FD5    ; Grapheme_Base
2FF0..2FFB    ; Grapheme_Base
3000          ; Grapheme_Base
3001..3003    ; Grapheme_Base
3004          ; Grapheme_Base
3005          ; Grapheme_Base
3006          ; Grapheme_Base
3007          ; Grapheme_Base
3008          ; Grapheme_Base
3009          ; Grapheme_Base
300A          ; Grapheme_Base
300B          ; Grapheme_Base
300C          ; Grapheme_Base
300D          ; Grapheme_Base
300E          ; Grapheme_Base
300F          ; Grapheme_Base
3010          ; Grapheme_Base
3011          ; Grapheme_Base
3012..3013    ; Grapheme_Base
3014          ; Grapheme_Base
3015          ; Grapheme_Base
3016          ; Grapheme_Base
3017          ; Grapheme_Base
3018          ; Grapheme_Base
3019          ; Grapheme_Base
301A          ; Grapheme_Base
301B          ; Grapheme_Base
301C          ; Grapheme_Base
301D          ; Grapheme_Base
301E..301F    ; Grapheme_Base
3020          ; Grapheme_Base
3021..3029    ; Grapheme_Base
3030          ; Grapheme_Base
3031..3035    ; Grapheme_Base
3036..3037    ; Grapheme_Base
3038..303A    ; Grapheme_Base
303B          ; Grapheme_Base
303C          ; Grapheme_Base
